   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1477(XView)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1498(YView)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1519(Wm)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1721(Tk)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1846(Pack)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1891(Place)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1941(Grid)
        1    0.000    0.000    0.000    0.000 Tkinter.py:198(Variable)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1994(BaseWidget)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2050(Widget)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2057(Toplevel)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2085(Button)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2164(Canvas)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2405(Checkbutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2434(Entry)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2499(Frame)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2517(Label)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2539(Listbox)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2633(Menu)
        1    0.000    0.000    0.000    0.000 Tkinter.py:274(StringVar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2754(Menubutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2759(Message)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2764(Radiobutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2791(Scale)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2824(Scrollbar)
        1    0.003    0.003    0.003    0.003 Tkinter.py:2864(Text)
        1    0.000    0.000    0.000    0.000 Tkinter.py:296(IntVar)
        1    0.027    0.027    0.040    0.040 Tkinter.py:31(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3191(_setit)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3202(OptionMenu)
        1    0.000    0.000    0.000    0.000 Tkinter.py:321(DoubleVar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3239(Image)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3299(PhotoImage)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3359(BitmapImage)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3371(Spinbox)
        1    0.000    0.000    0.000    0.000 Tkinter.py:340(BooleanVar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3529(LabelFrame)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3551(PanedWindow)
        1    0.000    0.000    0.000    0.000 Tkinter.py:372(Misc)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3748(Studbutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3756(Tributton)
        2    0.000    0.000    0.000    0.000 UserDict.py:18(__getitem__)
        1    0.000    0.000    0.000    0.000 UserDict.py:4(__init__)
        5    0.000    0.000    0.000    0.000 UserDict.py:58(get)
       10    0.000    0.000    0.000    0.000 UserDict.py:70(__contains__)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
